network,diameter (unweighted-directed),density(unweighted-directed),            mean geodesic distance(unweighted-directed),             reciprocity(unweighted-directed),            global clustering(unweighted-undirected),            average clustering (unweighted-undirected),            sum of weights
CDIS_equity,3,0.15,1.88,0.56,0.49,0.47,27583961.0
CDIS_debt,4,0.14,1.97,0.75,0.5,0.39,9538464.0
CPIS_equity,4,0.11,2.14,0.53,0.59,0.63,20887243.0
CPIS_debt,4,0.11,2.07,0.53,0.58,0.57,23685126.0
BIS,3,0.17,1.81,0.83,0.36,0.31,20449686.0
Aggregated,3,0.3,1.7,0.77,0.59,0.37,102144479.0
