network,diameter (unweighted-directed),density(unweighted-directed),            mean geodesic distance(unweighted-directed),             reciprocity(unweighted-directed),            global clustering(unweighted-undirected),            average clustering (unweighted-undirected),            sum of weights
CDIS_equity,3,0.13,1.95,0.56,0.48,0.57,29511619.0
CDIS_debt,4,0.13,1.95,0.72,0.47,0.46,9122433.0
CPIS_equity,5,0.11,2.14,0.56,0.57,0.61,23558369.0
CPIS_debt,4,0.12,2.08,0.49,0.57,0.59,21503723.0
BIS,3,0.18,1.8,0.83,0.37,0.31,18453112.0
Aggregated,3,0.27,1.74,0.76,0.55,0.39,102149255.0
