network,diameter (unweighted-directed),density(unweighted-directed),            mean geodesic distance(unweighted-directed),             reciprocity(unweighted-directed),            global clustering(unweighted-undirected),            average clustering (unweighted-undirected),            sum of weights
CDIS_equity,3,0.15,1.89,0.55,0.47,0.46,24771512.0
CDIS_debt,4,0.14,1.99,0.74,0.49,0.38,8798041.0
CPIS_equity,4,0.11,2.16,0.53,0.57,0.64,17252076.0
CPIS_debt,4,0.12,2.08,0.52,0.57,0.61,23023654.0
BIS,3,0.18,1.82,0.82,0.36,0.34,20905790.0
Aggregated,3,0.29,1.71,0.76,0.58,0.37,94751072.0
