network,diameter (unweighted-directed),density(unweighted-directed),            mean geodesic distance(unweighted-directed),             reciprocity(unweighted-directed),            global clustering(unweighted-undirected),            average clustering (unweighted-undirected),            sum of weights
CDIS_equity,4,0.14,1.92,0.56,0.47,0.48,22812691.0
CDIS_debt,4,0.14,2.0,0.74,0.49,0.37,7398908.0
CPIS_equity,4,0.11,2.17,0.52,0.58,0.63,15751416.0
CPIS_debt,4,0.11,2.14,0.53,0.56,0.63,21563858.0
BIS,3,0.17,1.84,0.8,0.37,0.37,22216746.0
Aggregated,3,0.26,1.75,0.74,0.58,0.4,89743619.0
