network,diameter (unweighted-directed),density(unweighted-directed),            mean geodesic distance(unweighted-directed),             reciprocity(unweighted-directed),            global clustering(unweighted-undirected),            average clustering (unweighted-undirected),            sum of weights
CDIS_equity,3,0.16,1.87,0.57,0.49,0.47,29023838.0
CDIS_debt,4,0.15,1.92,0.76,0.49,0.38,9120962.0
CPIS_equity,4,0.12,2.13,0.55,0.58,0.62,23459899.0
CPIS_debt,4,0.12,2.06,0.52,0.58,0.6,23390070.0
BIS,3,0.18,1.79,0.84,0.37,0.31,18517001.0
Aggregated,3,0.31,1.68,0.78,0.59,0.36,103511770.0
