network,diameter (unweighted-directed),density(unweighted-directed),            mean geodesic distance(unweighted-directed),             reciprocity(unweighted-directed),            global clustering(unweighted-undirected),            average clustering (unweighted-undirected),            sum of weights
CDIS_equity,4,0.14,1.91,0.54,0.47,0.46,22579893.0
CDIS_debt,4,0.13,2.01,0.73,0.49,0.38,8152566.0
CPIS_equity,4,0.11,2.17,0.53,0.57,0.64,14695142.0
CPIS_debt,4,0.11,2.09,0.52,0.56,0.62,21454010.0
BIS,3,0.17,1.84,0.81,0.37,0.37,22548878.0
Aggregated,3,0.27,1.74,0.75,0.58,0.39,89430490.0
