network,diameter (unweighted-directed),density(unweighted-directed),            mean geodesic distance(unweighted-directed),             reciprocity(unweighted-directed),            global clustering(unweighted-undirected),            average clustering (unweighted-undirected),            sum of weights
CDIS_equity,4,0.15,1.88,0.56,0.49,0.47,28070535.0
CDIS_debt,4,0.15,1.95,0.75,0.49,0.38,9408707.0
CPIS_equity,5,0.11,2.12,0.53,0.59,0.63,22462178.0
CPIS_debt,4,0.12,2.03,0.52,0.58,0.58,23274603.0
BIS,3,0.18,1.8,0.83,0.37,0.31,20065512.0
Aggregated,3,0.31,1.69,0.78,0.59,0.36,103281536.0
