Threshold,Number of Affected Countries 
0.1,209
0.15,209
0.2,70
0.25,53
0.3,19
0.35,16
0.4,13
0.45,11
0.5,6
0.55,5
0.6,3
0.65,3
0.7,3
0.75,3
0.8,2
0.85,2
0.9,1
0.95,1
