Threshold,Number of Affected Countries 
0.1,209
0.15,209
0.2,209
0.25,209
0.3,4
0.35,4
0.4,4
0.45,4
0.5,3
0.55,3
0.6,3
0.65,3
0.7,1
0.75,1
0.8,1
0.85,1
0.9,1
0.95,1
