Threshold,Number of Affected Countries 
0.1,209
0.15,209
0.2,209
0.25,209
0.3,209
0.35,209
0.4,209
0.45,93
0.5,2
0.55,1
0.6,1
0.65,1
0.7,1
0.75,1
0.8,1
0.85,1
0.9,1
0.95,1
