Threshold,Number of Affected Countries 
0.1,209
0.15,209
0.2,209
0.25,209
0.3,209
0.35,209
0.4,209
0.45,93
0.5,47
0.55,20
0.6,6
0.65,5
0.7,5
0.75,2
0.8,2
0.85,2
0.9,2
0.95,2
