Threshold,Number of Affected Countries 
0.1,209
0.15,30
0.2,27
0.25,27
0.3,23
0.35,22
0.4,21
0.45,18
0.5,17
0.55,12
0.6,12
0.65,8
0.7,4
0.75,2
0.8,2
0.85,1
0.9,1
0.95,1
