Threshold,Number of Affected Countries 
0.1,209
0.15,209
0.2,209
0.25,11
0.3,6
0.35,6
0.4,4
0.45,3
0.5,3
0.55,3
0.6,3
0.65,3
0.7,3
0.75,3
0.8,3
0.85,2
0.9,1
0.95,1
