Threshold,Number of Affected Countries 
0.1,209
0.16,52
0.23,40
0.29,15
0.35,13
0.42,7
0.48,6
0.55,4
0.61,3
0.67,2
0.74,2
0.8,2
0.86,2
0.93,2
0.99,2
