Threshold,Number of Affected Countries 
0.1,209
0.15,75
0.2,45
0.25,27
0.3,9
0.35,6
0.4,6
0.45,4
0.5,4
0.55,1
0.6,1
0.65,1
0.7,1
0.75,1
0.8,1
0.85,1
0.9,1
0.95,1
