Threshold,Number of Affected Countries 
0.1,209
0.16,209
0.23,209
0.29,209
0.35,209
0.42,209
0.48,48
0.55,20
0.61,5
0.67,5
0.74,4
0.8,4
0.86,4
0.93,4
0.99,2
