Threshold,Number of Affected Countries 
0.1,209
0.15,209
0.2,209
0.25,209
0.3,209
0.35,209
0.4,209
0.45,209
0.5,209
0.55,114
0.6,83
0.65,74
0.7,68
0.75,61
0.8,53
0.85,47
0.9,41
0.95,31
