Threshold,Number of Affected Countries 
0.1,209
0.15,209
0.2,209
0.25,209
0.3,61
0.35,39
0.4,38
0.45,36
0.5,33
0.55,30
0.6,29
0.65,27
0.7,25
0.75,23
0.8,20
0.85,19
0.9,16
0.95,15
