Threshold,Number of Affected Countries 
0.1,209
0.15,209
0.2,209
0.25,209
0.3,209
0.35,21
0.4,21
0.45,11
0.5,6
0.55,6
0.6,3
0.65,3
0.7,3
0.75,3
0.8,1
0.85,1
0.9,1
0.95,1
